"compound","unique_id","plant","type","new_cat","genus","family","order","location","region","new_class","new_sub_class","sum_area","perc_area","prop_area","smiles","inchikeys","abundance","sum_abund","rel_abund"
"1-pentanol, 4-methyl-","Vc 37-Can","Raphanus sativus","Arable","Crops","Raphanus","Brassicaceae","Brassicales","Canterbury","Upper south island","Fatty acid derivatives","Fatty alcohols",2073,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",2073,2073,1
"1-pentanol, 4-methyl-","Vc57-Chr","Cephalaria gigantea","Flower","Ornamentals","Cephalaria","Caprifoliaceae","Dipsacales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",1686,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",1686,4208,0.400665399239544
"1-pentanol, 4-methyl-","Vc 39-Can","Raphanus sativus","Arable","Crops","Raphanus","Brassicaceae","Brassicales","Canterbury","Upper south island","Fatty acid derivatives","Fatty alcohols",998,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",998,998,1
"1-pentanol, 4-methyl-","Vc 114-Dun","Lavandula dentata","Flower","Ornamentals","Lavandula","Lamiaceae","Lamiales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty alcohols",114,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",114,7249,0.0157263070768382
"1-pentanol, 4-methyl-","Vc 115-Dun","Lavandula dentata","Flower","Ornamentals","Lavandula","Lamiaceae","Lamiales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty alcohols",2617,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",2617,9148,0.286073458679493
"1-pentanol, 4-methyl-","Vc58-Chr","Cephalaria gigantea","Flower","Ornamentals","Cephalaria","Caprifoliaceae","Dipsacales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",4095,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",4095,6897,0.593736407133536
"1-pentanol, 4-methyl-","Vc59-Chr","Cephalaria gigantea","Flower","Ornamentals","Cephalaria","Caprifoliaceae","Dipsacales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",1208,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",1208,4503,0.268265600710637
"Pentane, 3-methyl- 1","Vc 129-Dun","Oenothera caespitosa","Flower","Ornamentals","Oenothera","Onagraceae","Myrtales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Hydrocarbons",1938,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",1938,1938,1
"Pentane, 3-methyl- 1","Vc 132-Dun","Artemisia dracunculus","Flower","Ornamentals","Artemisia","Asteraceae","Asterales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Hydrocarbons",3019,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",3019,17876,0.168885656746476
"Pentane, 3-methyl- 1","Vc 133-Dun","Artemisia dracunculus","Flower","Ornamentals","Artemisia","Asteraceae","Asterales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Hydrocarbons",3981,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",3981,13732,0.289906787066706
"Pentane, 3-methyl- 1","Vc 134-Dun","Artemisia dracunculus","Flower","Ornamentals","Artemisia","Asteraceae","Asterales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Hydrocarbons",2871,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",2871,8777,0.327104933348525
"Pentane, 3-methyl- 1","Vc 176-Lak","Lupinus sp.","Flower","Ornamentals","Lupinus","Fabaceae","Fabales","Lake tekapo","Lower south island","Fatty acid derivatives","Hydrocarbons",3845,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",3845,114614,0.0335473851361963
"Pentane, 3-methyl- 1","Vc 177-Lak","Lupinus sp.","Flower","Ornamentals","Lupinus","Fabaceae","Fabales","Lake tekapo","Lower south island","Fatty acid derivatives","Hydrocarbons",3158,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",3158,118642,0.026617892483269
"Pentane, 3-methyl- 1","Vc 178-Lak","Lupinus sp.","Flower","Ornamentals","Lupinus","Fabaceae","Fabales","Lake tekapo","Lower south island","Fatty acid derivatives","Hydrocarbons",3748,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",3748,102218,0.0366667318867518
"Pentane, 3-methyl- 1","Vc 128-Dun","Oenothera caespitosa","Flower","Ornamentals","Oenothera","Onagraceae","Myrtales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Hydrocarbons",515,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",515,515,1
"Rt62-ki779","Flax-flower1-Aot","Phormium tenax","Flower","Natives","Phormium","Xanthorrhoeaceae","Asparagales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2717,NA,NA,"Na","Na",2717,11841,0.229456971539566
"Rt62-ki779","Hebe-flower2-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",4064,NA,NA,"Na","Na",4064,20756,0.195798805164772
"Rt62-ki779","Hebe-flower3-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",1365,NA,NA,"Na","Na",1365,35600,0.0383426966292135
"1-pentanol, 4-methyl-","Vc 160-Dun","Scabiosa graminifolia","Flower","Ornamentals","Scabiosa","Caprifoliaceae","Dipsacales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty alcohols",3453,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",3453,6107,0.565416734894383
"3-hexanone","Kanuka_f1_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",963,NA,NA,"Cccc(=o)cc","Pfchfhirkbaqgu-uhfffaoysa-n",963,33888,0.0284171388101983
"3-hexanone","Kanuka_f3_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",1562,NA,NA,"Cccc(=o)cc","Pfchfhirkbaqgu-uhfffaoysa-n",1562,31377,0.0497816872231252
"3-hexanone","Lancewood f1-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",4007,NA,NA,"Cccc(=o)cc","Pfchfhirkbaqgu-uhfffaoysa-n",4007,12554,0.31918113748606
"3-hexanone","Kanuka_f2_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",926,NA,NA,"Cccc(=o)cc","Pfchfhirkbaqgu-uhfffaoysa-n",926,29782,0.031092606272245
"Mesityl oxide","Kowhai-f1-Aot","Sophora microphylla","Flower","Natives","Sophora","Fabaceae","Fabales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",3160,NA,NA,"Cc(=cc(=o)c)c","Shojxdktykfbrd-uhfffaoysa-n",3160,5764,0.54823039555864
"Mesityl oxide","Kowhai-f2-Aot","Sophora microphylla","Flower","Natives","Sophora","Fabaceae","Fabales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",3867,NA,NA,"Cc(=cc(=o)c)c","Shojxdktykfbrd-uhfffaoysa-n",3867,9309,0.415404447309056
"Mesityl oxide","Kowhai-f3-Aot","Sophora microphylla","Flower","Natives","Sophora","Fabaceae","Fabales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",3490,NA,NA,"Cc(=cc(=o)c)c","Shojxdktykfbrd-uhfffaoysa-n",3490,12236,0.285223929388689
"3-hexanone","Lancewood f2-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",3892,NA,NA,"Cccc(=o)cc","Pfchfhirkbaqgu-uhfffaoysa-n",3892,14987,0.259691732835124
"3-hexanone","Lancewood f3-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",3368,NA,NA,"Cccc(=o)cc","Pfchfhirkbaqgu-uhfffaoysa-n",3368,20003,0.168374743788432
"2-hexanone","Hebe-flower1-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2879,NA,NA,"Ccccc(=o)c","Qqzopkmrpogieb-uhfffaoysa-n",2879,24491,0.117553386958475
"2-hexanone","Hebe-flower3-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",3574,NA,NA,"Ccccc(=o)c","Qqzopkmrpogieb-uhfffaoysa-n",3574,35600,0.100393258426966
"2-hexanone","Hebe-flowers-pooled-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2468,NA,NA,"Ccccc(=o)c","Qqzopkmrpogieb-uhfffaoysa-n",2468,35248,0.0700181570585565
"2-hexanone","Kanuka_f1_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2855,NA,NA,"Ccccc(=o)c","Qqzopkmrpogieb-uhfffaoysa-n",2855,33888,0.0842481114258735
"2-hexanone","Kanuka_f2_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2878,NA,NA,"Ccccc(=o)c","Qqzopkmrpogieb-uhfffaoysa-n",2878,29782,0.0966355516755087
"2-hexanone","Lancewood f1-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2676,NA,NA,"Ccccc(=o)c","Qqzopkmrpogieb-uhfffaoysa-n",2676,12554,0.213159152461367
"2-hexanone","Lancewood f2-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2308,NA,NA,"Ccccc(=o)c","Qqzopkmrpogieb-uhfffaoysa-n",2308,14987,0.154000133448989
"2-hexanone","Lancewood f3-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2121,NA,NA,"Ccccc(=o)c","Qqzopkmrpogieb-uhfffaoysa-n",2121,20003,0.106034094885767
"2-hexanone","Kanuka_f3_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",3325,NA,NA,"Ccccc(=o)c","Qqzopkmrpogieb-uhfffaoysa-n",3325,31377,0.105969340599802
"Rt6.8-ki792","Vc89-Chr","Inula helenium","Flower","Ornamentals","Inula","Asteraceae","Asterales","Christchurch botanical gardens","Upper south island",NA,NA,2504,NA,NA,"Na","Na",2504,16268,0.153921809687731
"Rt6.8-ki792","Vc90-Chr","Inula helenium","Flower","Ornamentals","Inula","Asteraceae","Asterales","Christchurch botanical gardens","Upper south island",NA,NA,2275,NA,NA,"Na","Na",2275,11941,0.190520056946654
"Rt6.8-ki792","Vc91-Chr","Inula helenium","Flower","Ornamentals","Inula","Asteraceae","Asterales","Christchurch botanical gardens","Upper south island",NA,NA,3998,NA,NA,"Na","Na",3998,25749,0.15526816575401
"Rt7.0-ki797","Vc 161-Dun","Scabiosa graminifolia","Flower","Ornamentals","Scabiosa","Caprifoliaceae","Dipsacales","Dunedin botanical gardens","Lower south island",NA,NA,1837,NA,NA,"Na","Na",1837,4891,0.375587814352893
"Rt7.0-ki797","Vc 188-Chr","Eucomis comosa","Flower","Ornamentals","Eucomis","Asparagaceae","Asparagales","Christchurch botanical gardens","Upper south island",NA,NA,4165,NA,NA,"Na","Na",4165,66810,0.0623409669211196
"Rt7.0-ki797","Vc 189-Chr","Eucomis comosa","Flower","Ornamentals","Eucomis","Asparagaceae","Asparagales","Christchurch botanical gardens","Upper south island",NA,NA,306,NA,NA,"Na","Na",306,54201,0.00564565229423811
"Rt7.0-ki797","Vc 190-Chr","Eucomis comosa","Flower","Ornamentals","Eucomis","Asparagaceae","Asparagales","Christchurch botanical gardens","Upper south island",NA,NA,3,NA,NA,"Na","Na",3,47440,6.32377740303541e-05
"Rt7.0-ki797","Vc53-Chr","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Christchurch botanical gardens","Upper south island",NA,NA,2829,NA,NA,"Na","Na",2829,29284,0.0966056549651687
"Rt7.0-ki797","Vc53-Ham","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Hamilton","Central north island",NA,NA,2829,NA,NA,"Na","Na",2829,29284,0.0966056549651687
"Rt7.0-ki797","Vc54-Chr","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Christchurch botanical gardens","Upper south island",NA,NA,2644,NA,NA,"Na","Na",2644,29748,0.0888799247008202
"Rt7.0-ki797","Vc54-Ham","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Hamilton","Central north island",NA,NA,2644,NA,NA,"Na","Na",2644,29748,0.0888799247008202
"Rt7.0-ki797","Vc55-Chr","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Christchurch botanical gardens","Upper south island",NA,NA,3843,NA,NA,"Na","Na",3843,29618,0.129752177729759
"Rt7.0-ki797","Vc55-Ham","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Hamilton","Central north island",NA,NA,3843,NA,NA,"Na","Na",3843,29618,0.129752177729759
"Rt7.0-ki797","Vc93-Chr","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Christchurch botanical gardens","Upper south island",NA,NA,2837,NA,NA,"Na","Na",2837,16421,0.172766579380062
"Rt7.0-ki797","Vc93-Dun","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Dunedin botanical gardens","Lower south island",NA,NA,2837,NA,NA,"Na","Na",2837,16421,0.172766579380062
"Rt7.0-ki797","Vc94-Chr","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Christchurch botanical gardens","Upper south island",NA,NA,3226,NA,NA,"Na","Na",3226,10202,0.3162125073515
"Rt7.0-ki797","Vc94-Dun","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Dunedin botanical gardens","Lower south island",NA,NA,3226,NA,NA,"Na","Na",3226,10202,0.3162125073515
"Rt7.0-ki797","Vc95-Chr","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Christchurch botanical gardens","Upper south island",NA,NA,370,NA,NA,"Na","Na",370,8313,0.0445086009864068
"Rt7.0-ki797","Vc95-Dun","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Dunedin botanical gardens","Lower south island",NA,NA,370,NA,NA,"Na","Na",370,8313,0.0445086009864068
"Rt7.1-ki799","Vc94-Chr","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Christchurch botanical gardens","Upper south island",NA,NA,30,NA,NA,"Na","Na",30,10202,0.002940599882376
"Rt7.1-ki799","Vc94-Dun","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Dunedin botanical gardens","Lower south island",NA,NA,30,NA,NA,"Na","Na",30,10202,0.002940599882376
"Rt7.1-ki799","Vc95-Chr","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Christchurch botanical gardens","Upper south island",NA,NA,64,NA,NA,"Na","Na",64,8313,0.00769878503548659
"Rt7.1-ki799","Vc95-Dun","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Dunedin botanical gardens","Lower south island",NA,NA,64,NA,NA,"Na","Na",64,8313,0.00769878503548659
"Rt7.1-ki799","Vc93-Chr","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Christchurch botanical gardens","Upper south island",NA,NA,3701,NA,NA,"Na","Na",3701,16421,0.225382132635041
"Rt7.1-ki799","Vc93-Dun","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Dunedin botanical gardens","Lower south island",NA,NA,3701,NA,NA,"Na","Na",3701,16421,0.225382132635041
"2-hexanol","Flax-flower1-Aot","Phormium tenax","Flower","Natives","Phormium","Xanthorrhoeaceae","Asparagales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",3966,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",3966,11841,0.334937927539904
"2-hexanol","Hebe-flower1-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",149,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",149,24491,0.00608386754317913
"2-hexanol","Hebe-flower2-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",3913,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",3913,20756,0.188523800346888
"2-hexanol","Hebe-flower3-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",1118,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",1118,35600,0.0314044943820225
"2-hexanol","Hebe-flowers-pooled-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",407,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",407,35248,0.011546754425783
"2-hexanol","Kanuka_f1_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",2974,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",2974,33888,0.0877596789423985
"2-hexanol","Kanuka_f2_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",3198,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",3198,29782,0.107380296823585
"2-hexanol","Kanuka_f3_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",2753,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",2753,31377,0.0877394269687988
"2-hexanol","Lancewood f1-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",2358,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",2358,12554,0.187828580532101
"2-hexanol","Lancewood f2-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",2125,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",2125,14987,0.141789550944152
"2-hexanol","Lancewood f3-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",1841,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",1841,20003,0.0920361945708144
"2-hexanol","Ngaio-flower1-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",902,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",902,21642,0.0416782182792718
"2-hexanol","Ngaio-flower2-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",3591,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",3591,27491,0.13062456804045
"2-hexanol","Ngaio-flower3-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",4203,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",4203,27096,0.155115146147033
"2-hexanol","Ngaio-flowers-pooled-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty alcohols",3898,NA,NA,"Ccccc(c)o","Qnvrihysuzmsgm-uhfffaoysa-n",3898,31762,0.122725269189598
"Hexanal","Flax-flower2-Aot","Phormium tenax","Flower","Natives","Phormium","Xanthorrhoeaceae","Asparagales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty aldehydes",4133,NA,NA,"Cccccc=o","Jarkcyvaaowbjs-uhfffaoysa-n",4133,13902,0.297295353186592
"Rt7.2-ki837","All radish pooled-Can","Raphanus raphanistrum","Arable","Crops","Raphanus","Brassicaceae","Brassicales","Canterbury","Upper south island",NA,NA,2357,NA,NA,"Na","Na",2357,102631,0.0229657705761417
"Rt7.2-ki837","Plum angelino pooled-Haw","Prunus domestica","Fruit","Crops","Prunus","Rosaceae","Rosales","Hawke's bay","Lower north island",NA,NA,1623,NA,NA,"Na","Na",1623,61893,0.0262226746158693
"Rt7.2-ki837","Apricot cg pooled-Cen","Prunus armeniaca","Fruit","Crops","Prunus","Rosaceae","Rosales","Central otago","Lower south island",NA,NA,1534,NA,NA,"Na","Na",1534,38687,0.0396515625403882
"Rt7.2-ki837","Avo hass pooled-Bay","Persea americana","Fruit","Crops","Persea","Lauraceae","Laurales","Bay of plenty","Central north island",NA,NA,2440,NA,NA,"Na","Na",2440,110738,0.0220339901388864
"Rt7.2-ki837","Cherry lapins pooled-Cen","Prunus avium","Fruit","Crops","Prunus","Rosaceae","Rosales","Central otago","Lower south island",NA,NA,2978,NA,NA,"Na","Na",2978,44554,0.0668402388113301
"Rt8.24-ki841","Vc 148-Dun","Penstemon hidcote pink","Flower","Ornamentals","Penstemon","Plantaginaceae","Lamiales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty unknown",709,NA,NA,"Na","Na",709,9618,0.0737159492618008
"Rt8.24-ki841","Vc 150-Dun","Penstemon hidcote pink","Flower","Ornamentals","Penstemon","Plantaginaceae","Lamiales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty unknown",1941,NA,NA,"Na","Na",1941,5020,0.386653386454183
"Rt8.24-ki841","Vc 149-Dun","Penstemon hidcote pink","Flower","Ornamentals","Penstemon","Plantaginaceae","Lamiales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty unknown",812,NA,NA,"Na","Na",812,11615,0.0699095996556177
"2-pentanone, 4-hydroxy-4-methyl-","Hebe-flower1-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",1314,NA,NA,"Cc(=o)cc(c)(c)o","Swxvuiwouidpgs-uhfffaoysa-n",1314,24491,0.0536523620921971
"2-pentanone, 4-hydroxy-4-methyl-","Hebe-flower2-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",1035,NA,NA,"Cc(=o)cc(c)(c)o","Swxvuiwouidpgs-uhfffaoysa-n",1035,20756,0.0498650992484101
"2-pentanone, 4-hydroxy-4-methyl-","Hebe-flower3-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2322,NA,NA,"Cc(=o)cc(c)(c)o","Swxvuiwouidpgs-uhfffaoysa-n",2322,35600,0.0652247191011236
"2-pentanone, 4-hydroxy-4-methyl-","Hebe-flowers-pooled-concx10-Aot","Veronica elliptica","Flower","Natives","Veronica","Plantaginaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",1814,NA,NA,"Cc(=o)cc(c)(c)o","Swxvuiwouidpgs-uhfffaoysa-n",1814,35248,0.0514639128461189
"2-pentanone, 4-hydroxy-4-methyl-","Lancewood f2-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2973,NA,NA,"Cc(=o)cc(c)(c)o","Swxvuiwouidpgs-uhfffaoysa-n",2973,14987,0.198371922332688
"2-pentanone, 4-hydroxy-4-methyl-","Lancewood f3-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",2373,NA,NA,"Cc(=o)cc(c)(c)o","Swxvuiwouidpgs-uhfffaoysa-n",2373,20003,0.118632205169225
"2-pentanone, 4-hydroxy-4-methyl-","Ngaio-flower1-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",1811,NA,NA,"Cc(=o)cc(c)(c)o","Swxvuiwouidpgs-uhfffaoysa-n",1811,21642,0.0836798817114869
"2-pentanone, 4-hydroxy-4-methyl-","Ngaio-flower2-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",1555,NA,NA,"Cc(=o)cc(c)(c)o","Swxvuiwouidpgs-uhfffaoysa-n",1555,27491,0.056563966389
"2-pentanone, 4-hydroxy-4-methyl-","Ngaio-flower3-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",1381,NA,NA,"Cc(=o)cc(c)(c)o","Swxvuiwouidpgs-uhfffaoysa-n",1381,27096,0.0509669323885444
"2-pentanone, 4-hydroxy-4-methyl-","Ngaio-flowers-pooled-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Fatty unknown",1096,NA,NA,"Cc(=o)cc(c)(c)o","Swxvuiwouidpgs-uhfffaoysa-n",1096,31762,0.0345066431584913
