"compound","unique_id","plant","type","new_cat","genus","family","order","location","region","new_class","new_sub_class","sum_area","perc_area","prop_area","smiles","inchikeys","abundance","sum_abund","rel_abund"
"(E)-4,8-dimethyl-1,3,7-nonatriene","Tikouka-flower1-Aot","Cordyline australis","Flower","Natives","Cordyline","Asparagaceae","Asparagales","Aotearoa","Aotearoa","Fatty acid derivatives","Hydrocarbons",2852,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",2852,14375,0.1984
"Octanal","Vc65-Chr","Salvia sp1","Flower","Ornamentals","Salvia","Lamiaceae","Lamiales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty aldehydes",1908,NA,NA,"Cccccccc=o","Nujgjrnetvairj-uhfffaoysa-n",1908,5291,0.360612360612361
"Octanal","Vc67-Chr","Salvia sp1","Flower","Ornamentals","Salvia","Lamiaceae","Lamiales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty aldehydes",1455,NA,NA,"Cccccccc=o","Nujgjrnetvairj-uhfffaoysa-n",1455,4804,0.302872606161532
"(E)-4,8-dimethyl-1,3,7-nonatriene","Kanuka_f2_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Hydrocarbons",3599,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3599,29782,0.120844805587267
"Octanal","Vc79-Chr","Scabiosa sp.","Flower","Ornamentals","Scabiosa","Caprifoliaceae","Dipsacales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty aldehydes",2347,NA,NA,"Cccccccc=o","Nujgjrnetvairj-uhfffaoysa-n",2347,14053,0.167010602718281
"(E)-4,8-dimethyl-1,3,7-nonatriene","Ngaio-flower1-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Hydrocarbons",2090,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",2090,21642,0.0965714813788005
"(E)-4,8-dimethyl-1,3,7-nonatriene","Ngaio-flower2-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Hydrocarbons",4168,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",4168,27491,0.151613255247172
"(E)-4,8-dimethyl-1,3,7-nonatriene","Ngaio-flower3-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Hydrocarbons",914,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",914,27096,0.0337319161499852
"(E)-4,8-dimethyl-1,3,7-nonatriene","Ngaio-flowers-pooled-concx10-Aot","Myoporum laetum","Flower","Natives","Myoporum","Scrophulariaceae","Lamiales","Aotearoa","Aotearoa","Fatty acid derivatives","Hydrocarbons",2888,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",2888,31762,0.0909262640891632
"(E)-4,8-dimethyl-1,3,7-nonatriene","01 nov s6f-Haw","Malus domestica","Fruit","Crops","Malus","Rosaceae","Rosales","Hawke's bay","Lower north island","Fatty acid derivatives","Hydrocarbons",3757,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3757,17972,0.209047407077676
"(E)-4,8-dimethyl-1,3,7-nonatriene","All plum pooled-Haw","Prunus domestica","Fruit","Crops","Prunus","Rosaceae","Rosales","Hawke's bay","Lower north island","Fatty acid derivatives","Hydrocarbons",567,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",567,81300,0.00697416974169742
"(E)-4,8-dimethyl-1,3,7-nonatriene","All radish pooled-Can","Raphanus raphanistrum","Arable","Crops","Raphanus","Brassicaceae","Brassicales","Canterbury","Upper south island","Fatty acid derivatives","Hydrocarbons",2354,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",2354,102631,0.0229365396420185
"(E)-4,8-dimethyl-1,3,7-nonatriene","Plum angelino pooled-Haw","Prunus domestica","Fruit","Crops","Prunus","Rosaceae","Rosales","Hawke's bay","Lower north island","Fatty acid derivatives","Hydrocarbons",1110,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",1110,61893,0.0179341767243469
"(E)-4,8-dimethyl-1,3,7-nonatriene","Upright flowers 18 october-Haw","Malus domestica","Fruit","Crops","Malus","Rosaceae","Rosales","Hawke's bay","Lower north island","Fatty acid derivatives","Hydrocarbons",3704,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3704,15581,0.237725434824466
"(E)-4,8-dimethyl-1,3,7-nonatriene","All apricot pooled-Cen","Prunus armeniaca","Fruit","Crops","Prunus","Rosaceae","Rosales","Central otago","Lower south island","Fatty acid derivatives","Hydrocarbons",1162,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",1162,55751,0.0208426754677046
"(E)-4,8-dimethyl-1,3,7-nonatriene","All brassica pooled-Can","Brassica oleracea","Arable","Crops","Brassica","Brassicaceae","Brassicales","Canterbury","Upper south island","Fatty acid derivatives","Hydrocarbons",1073,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",1073,34903,0.030742343065066
"(E)-4,8-dimethyl-1,3,7-nonatriene","Plum pooled for 2-ab id.d-Haw","Prunus domestica","Fruit","Crops","Prunus","Rosaceae","Rosales","Hawke's bay","Lower north island","Fatty acid derivatives","Hydrocarbons",2388,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",2388,98831,0.0241624591474335
"(E)-4,8-dimethyl-1,3,7-nonatriene","All cherry pooled-Cen","Prunus avium","Fruit","Crops","Prunus","Rosaceae","Rosales","Central otago","Lower south island","Fatty acid derivatives","Hydrocarbons",4086,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",4086,46308,0.0882352941176471
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 258-New","Rosa sp","Flower","Ornamentals","Rosa","Rosaceae","Rosales","New plymouth","Lower north island","Fatty acid derivatives","Hydrocarbons",2997,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",2997,46929,0.0638624304800869
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 210-Ble","Eucalyptus sp","Flower","Ornamentals","Eucalyptus","Myrtaceae","Myrtales","Blenheim","Upper south island","Fatty acid derivatives","Hydrocarbons",3218,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3218,16891,0.190515659226807
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 211-Ble","Eucalyptus sp","Flower","Ornamentals","Eucalyptus","Myrtaceae","Myrtales","Blenheim","Upper south island","Fatty acid derivatives","Hydrocarbons",844,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",844,26648,0.0316721705193636
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 228-Ham","Phlomis sp","Flower","Ornamentals","Phlomis","Lamiaceae","Lamiales","Hamilton","Central north island","Fatty acid derivatives","Hydrocarbons",721,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",721,26671,0.027033107120093
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 229-Ham","Phlomis sp","Flower","Ornamentals","Phlomis","Lamiaceae","Lamiales","Hamilton","Central north island","Fatty acid derivatives","Hydrocarbons",1317,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",1317,40046,0.0328871797432952
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 209-Ble","Eucalyptus sp","Flower","Ornamentals","Eucalyptus","Myrtaceae","Myrtales","Blenheim","Upper south island","Fatty acid derivatives","Hydrocarbons",3836,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3836,30281,0.126680096430105
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 230-Ham","Phlomis sp","Flower","Ornamentals","Phlomis","Lamiaceae","Lamiales","Hamilton","Central north island","Fatty acid derivatives","Hydrocarbons",330,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",330,28836,0.0114440282979609
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 250-Ham","Stachys byzantina","Flower","Ornamentals","Stachys","Lamiaceae","Lamiales","Hamilton","Central north island","Fatty acid derivatives","Hydrocarbons",3375,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3375,21906,0.154067378800329
